L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product name,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Product Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to Ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available (Y/N),Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),Size Chart,GTIN,HSN,EAN,Season,Occasion,Design / Style Type,Trend,Pattern,Features,Fabric,Fabric Finish,Material Finish,Max Sale Quantity,Bundles / Multipack Sets,Fit,Collar,Neck,Sleeve Length,Sports Type,Pockets,Reversible,Lining,Waist Rise,Length,Insole,Sole Material,Toe Shape,Outsole,Fastening,Midsole,Closure Type,Base Metal,Plating,Stone Type,Gem Type,Strap Material,Buckle Type,Buckle Material,Dial Shape,Frame / Rim Type,Frame Shape,Frame Colour,Frame Size,Frame Material,Face Shape,Lens Material,Lens Colour,Compartment Closure,External Pocket,Laptop Compartment,Laptop Size,Shoulder Strap Type,Volume [Ltrs.],Water Resistance,Lock Type,Dead Weight,Display,Glass Material,Warranty,Battery Life,Bluetooth,Call Function,Pedometer,Heart Rate Monitor,Sleep Monitor,SPO2 Monitor,Dupatta Pattern,Kurta Pattern,Ornamentation,Coverage,Padding,Seam,Straps,Closure,Waist Band,Gender,images.img1,images.img2,images.img3,images.img4,images.img5,Care for me,Pattern Coverage,Print or Pattern Type,Sleeve Styling,Sustainable,Wash Care,Weave Type,Character,images.img6,images.img7,Surface Styling,Type,Transparency,Sport Type,Fabric 2,Fabric Type,Contact Brand or Retailer for pre-sales product queries,images.img8,images.img9,Technology,Fabric 3,images.img10,Eunimart Reference Code
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Girls Yellow & Pink Pure Cotton Typography Printed T-shirt,"Pink,Yellow",0-6M,1,YK Baby,599,599,"Yellow and pink Tshirt for girls
Typography printed with graphic print detail
Regular length
Round neck
Short, regular sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"Vision Star, Skanda international4/100 k.g palayam road,veerapandi post-Tirupur-Tamilnadu-641605",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Typography,"Graphic,Printed,Typography",-,"Pure Cotton,Cotton","Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Girls,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_4.jpg,-,,Chest,Typography,Regular Sleeves,Regular,-,Knitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00393418
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Girls Yellow & Pink Pure Cotton Typography Printed T-shirt,"Pink,Yellow",6-12M,1,YK Baby,599,599,"Yellow and pink Tshirt for girls
Typography printed with graphic print detail
Regular length
Round neck
Short, regular sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"Vision Star, Skanda international4/100 k.g palayam road,veerapandi post-Tirupur-Tamilnadu-641605",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Typography,"Graphic,Printed,Typography",-,"Pure Cotton,Cotton","Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Girls,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_4.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_5.jpg,,Chest,Typography,Regular Sleeves,Regular,-,Knitted,-,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_6.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00393419
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Girls Yellow & Pink Pure Cotton Typography Printed T-shirt,"Pink,Yellow",12-18M,1,YK Baby,599,599,"Yellow and pink Tshirt for girls
Typography printed with graphic print detail
Regular length
Round neck
Short, regular sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"Vision Star, Skanda international4/100 k.g palayam road,veerapandi post-Tirupur-Tamilnadu-641605",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Typography,"Graphic,Printed,Typography",-,"Pure Cotton,Cotton","Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Girls,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_4.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_5.jpg,,Chest,Typography,Regular Sleeves,Regular,-,Knitted,-,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_6.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00393420
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Girls Yellow & Pink Pure Cotton Typography Printed T-shirt,"Pink,Yellow",18-24M,1,YK Baby,599,599,"Yellow and pink Tshirt for girls
Typography printed with graphic print detail
Regular length
Round neck
Short, regular sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"Vision Star, Skanda international4/100 k.g palayam road,veerapandi post-Tirupur-Tamilnadu-641605",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Typography,"Graphic,Printed,Typography",-,"Pure Cotton,Cotton","Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Girls,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_4.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_5.jpg,,Chest,Typography,Regular Sleeves,Regular,-,Knitted,-,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsYellow&PinkPureCottonTypographyPrintedT-shirt_6.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00393421
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Girls Blue & White Pure Cotton Graphic Print Ruffles Top,"White,Blue",0-6M,1,YK Baby,599,599,"Blue and white regular top
Graphic print
Round neck, short, regular sleeves
Ruffles detail at sleeves
Knitted",-,-,1,Units,Cotton,"Vision Star, Skanda international4/100 k.g palayam road,veerapandi post-Tirupur-Tamilnadu-641605",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Ruffles,Graphic,-,"Pure Cotton,Cotton",Knitted,-,-,-,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Girls,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_4.jpg,-,-,-,Graphic,Regular Sleeves,-,-,-,-,-,-,Ruffles,Regular,-,-,-,-,-,-,-,-,-,-,EU00394719
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Girls Blue & White Pure Cotton Graphic Print Ruffles Top,"White,Blue",6-12M,1,YK Baby,599,599,"Blue and white regular top
Graphic print
Round neck, short, regular sleeves
Ruffles detail at sleeves
Knitted",-,-,1,Units,Cotton,"Vision Star, Skanda international4/100 k.g palayam road,veerapandi post-Tirupur-Tamilnadu-641605",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Ruffles,Graphic,-,"Pure Cotton,Cotton",Knitted,-,-,-,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Girls,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_4.jpg,-,-,-,Graphic,Regular Sleeves,-,-,-,-,-,-,Ruffles,Regular,-,-,-,-,-,-,-,-,-,-,EU00394720
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Girls Blue & White Pure Cotton Graphic Print Ruffles Top,"White,Blue",12-18M,1,YK Baby,599,599,"Blue and white regular top
Graphic print
Round neck, short, regular sleeves
Ruffles detail at sleeves
Knitted",-,-,1,Units,Cotton,"Vision Star, Skanda international4/100 k.g palayam road,veerapandi post-Tirupur-Tamilnadu-641605",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Ruffles,Graphic,-,"Pure Cotton,Cotton",Knitted,-,-,-,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Girls,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_4.jpg,-,-,-,Graphic,Regular Sleeves,-,-,-,-,-,-,Ruffles,Regular,-,-,-,-,-,-,-,-,-,-,EU00394721
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Girls Blue & White Pure Cotton Graphic Print Ruffles Top,"White,Blue",18-24M,1,YK Baby,599,599,"Blue and white regular top
Graphic print
Round neck, short, regular sleeves
Ruffles detail at sleeves
Knitted",-,-,1,Units,Cotton,"Vision Star, Skanda international4/100 k.g palayam road,veerapandi post-Tirupur-Tamilnadu-641605",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Ruffles,Graphic,-,"Pure Cotton,Cotton",Knitted,-,-,-,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Girls,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantGirlsBlue&WhitePureCottonGraphicPrintRufflesTop_4.jpg,-,-,-,Graphic,Regular Sleeves,-,-,-,-,-,-,Ruffles,Regular,-,-,-,-,-,-,-,-,-,-,EU00394722
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Boys White & Navy Blue Typography Printed Cotton T-shirt,"Navy Blue,White,Blue",6-12M,1,max,229,229,"White and navy blue Tshirt for boys
Typography printed
Regular length
Round neck
Long, doctor sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"Landmark Online India Pvt Ltd, Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Typography,"Printed,Typography",-,Cotton,"Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boys,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_4.jpg,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00394743
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Boys White & Navy Blue Typography Printed Cotton T-shirt,"Navy Blue,White,Blue",12-18M,1,max,229,229,"White and navy blue Tshirt for boys
Typography printed
Regular length
Round neck
Long, doctor sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"Landmark Online India Pvt Ltd, Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Typography,"Printed,Typography",-,Cotton,"Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boys,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_4.jpg,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00394744
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Boys White & Navy Blue Typography Printed Cotton T-shirt,"Navy Blue,White,Blue",18-24M,1,max,229,229,"White and navy blue Tshirt for boys
Typography printed
Regular length
Round neck
Long, doctor sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"Landmark Online India Pvt Ltd, Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore-560037",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,Typography,"Printed,Typography",-,Cotton,"Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boys,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_max_InfantBoysWhite&NavyBlueTypographyPrintedCottonT-shirt_4.jpg,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00394745
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Boys Navy Blue Toy Story Graphic Printed T-shirt,"Navy Blue,Blue",0-6M,1,YK Baby,599,179,"Navy blue Tshirt for boys
Graphic printed
Regular length
Round neck
Short, regular sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"CHINMAY ENTERPRISE, Chinmay Enterprises Behind HP Gas Godwn, Village Bajra, Ludhiana.141008",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,"Graphic,Printed",-,Cotton,"Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boys,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_3.jpg,-,-,,Chest,Graphic,Regular Sleeves,Regular,-,Knitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00395296
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Boys Navy Blue Toy Story Graphic Printed T-shirt,"Navy Blue,Blue",6-12M,1,YK Baby,599,179,"Navy blue Tshirt for boys
Graphic printed
Regular length
Round neck
Short, regular sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"CHINMAY ENTERPRISE, Chinmay Enterprises Behind HP Gas Godwn, Village Bajra, Ludhiana.141008",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,"Graphic,Printed",-,Cotton,"Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boys,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_3.jpg,-,-,,Chest,Graphic,Regular Sleeves,Regular,-,Knitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00395297
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Boys Navy Blue Toy Story Graphic Printed T-shirt,"Navy Blue,Blue",12-18M,1,YK Baby,599,179,"Navy blue Tshirt for boys
Graphic printed
Regular length
Round neck
Short, regular sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"CHINMAY ENTERPRISE, Chinmay Enterprises Behind HP Gas Godwn, Village Bajra, Ludhiana.141008",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,"Graphic,Printed",-,Cotton,"Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boys,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_3.jpg,-,-,,Chest,Graphic,Regular Sleeves,Regular,-,Knitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00395298
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Boys Navy Blue Toy Story Graphic Printed T-shirt,"Navy Blue,Blue",18-24M,1,YK Baby,599,179,"Navy blue Tshirt for boys
Graphic printed
Regular length
Round neck
Short, regular sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"CHINMAY ENTERPRISE, Chinmay Enterprises Behind HP Gas Godwn, Village Bajra, Ludhiana.141008",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,"Graphic,Printed",-,Cotton,"Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boys,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YKBaby_InfantBoysNavyBlueToyStoryGraphicPrintedT-shirt_3.jpg,-,-,,Chest,Graphic,Regular Sleeves,Regular,-,Knitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00395299
RET,RET-12,RET-12-20,RET-12-20-10,RET-12-20-10-12,Infant Boys Blue & Lime Green Graphic Print Cotton T-shirt,"Blue,Green",0-6M,1,YK,599,599,"Blue and lime green Tshirt for boys
Graphic printed
Regular length
Round neck
Short, regular sleeves
Knitted cotton fabric",-,-,1,Units,Cotton,"Omnitech Retail, Paarth Clothing Private LimitedPLOT NO. 07, INDUSTRIAL ESTATE,,Behind Masat Police Station,,Silvassa,Dadar and nagar haveli,396230",India,-,Gentle Machine Wash,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,"Graphic,Printed",-,Cotton,"Printed,Knitted",-,-,Single,-,-,"Round Neck,Round",-,-,-,-,-,-,Regular,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Boys,https://datalabs.siva3.io/images/KidsTshirts_YK_InfantBoysBlue&LimeGreenGraphicPrintCottonT-shirt_1.jpg,https://datalabs.siva3.io/images/KidsTshirts_YK_InfantBoysBlue&LimeGreenGraphicPrintCottonT-shirt_2.jpg,https://datalabs.siva3.io/images/KidsTshirts_YK_InfantBoysBlue&LimeGreenGraphicPrintCottonT-shirt_3.jpg,https://datalabs.siva3.io/images/KidsTshirts_YK_InfantBoysBlue&LimeGreenGraphicPrintCottonT-shirt_4.jpg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU00395326
