L0 Domain,L3 Sub-Category,L2 Category,L1 Sub-Domain,L4 Product Enum-Code,Product name,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Product Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to Ship,Cancellable,Returnable,Replaceable,COD Available,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile,Liquid,Hazardous,Size Chart,GTIN,HSN,EAN,Season,Occasion,Design / Style Type,Trend,Pattern,Features,Fabric,Fabric Finish,Material Finish,Max Sale Quantity,Bundles / Multipack Sets,Fit,Collar,Neck,Sleeve Length,Sports Type,Pockets,Reversible,Lining,Waist Rise,Length,Insole,Sole Material,Toe Shape,Outsole,Fastening,Midsole,Closure Type,Base Metal,Plating,Stone Type,Gem Type,Strap Material,Buckle Type,Buckle Material,Dial Shape,Frame / Rim Type,Frame Shape,Frame Colour,Frame Size,Frame Material,Face Shape,Lens Material,Lens Colour,Compartment Closure,External Pocket,Laptop Compartment,Laptop Size,Shoulder Strap Type,Volume [Ltrs.],Water Resistance,Lock Type,Dead Weight,Display,Glass Material,Warranty,Battery Life,Bluetooth,Call Function,Pedometer,Heart Rate Monitor,Sleep Monitor,SPO2 Monitor,Dupatta Pattern,Kurta Pattern,Ornamentation,Coverage,Padding,Seam,Straps,Closure,Waist Band,Gender,Type,Fabric 2,images.img1,images.img2,images.img3,images.img4,Sustainable,images.img5,images.img6,Eunimart Reference Code
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Nude Mermaid Fit Saree Shapewear,Nude,S,1,SECRETS BY ZEROKAATA,1995,658,This item cannot be returned.,-,-,1,Units,Elastane,"TAKE ME HOME E-SOLUTION PRIVATE LIMITED, Take Me Home Esolution Pvt Ltd, H-1/B, 3rd Floor, Kalkaji, New Delhi - 110019",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Polyester,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_4.jpg,-,-,-,EU00978040
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Nude Mermaid Fit Saree Shapewear,Nude,M,1,SECRETS BY ZEROKAATA,1995,658,This item cannot be returned.,-,-,1,Units,Elastane,"TAKE ME HOME E-SOLUTION PRIVATE LIMITED, Take Me Home Esolution Pvt Ltd, H-1/B, 3rd Floor, Kalkaji, New Delhi - 110019",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Polyester,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_4.jpg,-,-,-,EU00978041
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Nude Mermaid Fit Saree Shapewear,Nude,L,1,SECRETS BY ZEROKAATA,1995,658,This item cannot be returned.,-,-,1,Units,Elastane,"TAKE ME HOME E-SOLUTION PRIVATE LIMITED, Take Me Home Esolution Pvt Ltd, H-1/B, 3rd Floor, Kalkaji, New Delhi - 110019",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Polyester,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_4.jpg,-,-,-,EU00978042
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Nude Mermaid Fit Saree Shapewear,Nude,XL,1,SECRETS BY ZEROKAATA,1995,658,This item cannot be returned.,-,-,1,Units,Elastane,"TAKE ME HOME E-SOLUTION PRIVATE LIMITED, Take Me Home Esolution Pvt Ltd, H-1/B, 3rd Floor, Kalkaji, New Delhi - 110019",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Polyester,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_4.jpg,-,-,-,EU00978043
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Nude Mermaid Fit Saree Shapewear,Nude,XXL,1,SECRETS BY ZEROKAATA,1995,658,This item cannot be returned.,-,-,1,Units,Elastane,"TAKE ME HOME E-SOLUTION PRIVATE LIMITED, Take Me Home Esolution Pvt Ltd, H-1/B, 3rd Floor, Kalkaji, New Delhi - 110019",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Polyester,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_4.jpg,-,-,-,EU00978044
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Nude Mermaid Fit Saree Shapewear,Nude,3XL,1,SECRETS BY ZEROKAATA,1995,658,This item cannot be returned.,-,-,1,Units,Elastane,"TAKE ME HOME E-SOLUTION PRIVATE LIMITED, Take Me Home Esolution Pvt Ltd, H-1/B, 3rd Floor, Kalkaji, New Delhi - 110019",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Polyester,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096830NudeMermaidFitSareeShapewear_4.jpg,-,-,-,EU00978045
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Black Shaper Briefs ZIZSWP0748,Black,S,1,Zivame,795,516,This item cannot be returned.,-,-,1,Units,Cotton,"MILASTAR RETAIL PRIVATE LIMITED, Milastar Retail Limited - 2726, 3rd Floor, Lakshminarayana Nivas, Off 80 feet Road, Indiranagar, Bangalore - 560 038",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Cotton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Shaper Brief,-,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_4.jpg,-,-,-,EU00978046
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Black Shaper Briefs ZIZSWP0748,Black,M,1,Zivame,795,516,This item cannot be returned.,-,-,1,Units,Cotton,"MILASTAR RETAIL PRIVATE LIMITED, Milastar Retail Limited - 2726, 3rd Floor, Lakshminarayana Nivas, Off 80 feet Road, Indiranagar, Bangalore - 560 038",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Cotton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Shaper Brief,-,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_4.jpg,-,-,-,EU00978047
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Black Shaper Briefs ZIZSWP0748,Black,L,1,Zivame,795,516,This item cannot be returned.,-,-,1,Units,Cotton,"MILASTAR RETAIL PRIVATE LIMITED, Milastar Retail Limited - 2726, 3rd Floor, Lakshminarayana Nivas, Off 80 feet Road, Indiranagar, Bangalore - 560 038",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Cotton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Shaper Brief,-,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_4.jpg,-,-,-,EU00978048
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Black Shaper Briefs ZIZSWP0748,Black,XL,1,Zivame,795,516,This item cannot be returned.,-,-,1,Units,Cotton,"MILASTAR RETAIL PRIVATE LIMITED, Milastar Retail Limited - 2726, 3rd Floor, Lakshminarayana Nivas, Off 80 feet Road, Indiranagar, Bangalore - 560 038",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Cotton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Shaper Brief,-,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_Zivame_1954180WomenBlackShaperBriefsZIZSWP0748_4.jpg,-,-,-,EU00978049
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Nude-Coloured Solid Saree Shapewear With Flared Hem,Nude,S,1,Sugathari,1799,593,This item cannot be returned.,-,-,1,Units,Elastane,"Shree Sanskruti Fashion, Shree Sanskruti Fashion, Ring Road, Surat, 395002",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,Solid,-,Microfiber,-,-,-,-,Flared,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_4.jpg,-,-,-,EU00978050
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Nude-Coloured Solid Saree Shapewear With Flared Hem,Nude,M,1,Sugathari,1799,593,This item cannot be returned.,-,-,1,Units,Elastane,"Shree Sanskruti Fashion, Shree Sanskruti Fashion, Ring Road, Surat, 395002",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,Solid,-,Microfiber,-,-,-,-,Flared,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_4.jpg,-,-,-,EU00978051
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Nude-Coloured Solid Saree Shapewear With Flared Hem,Nude,L,1,Sugathari,1799,593,This item cannot be returned.,-,-,1,Units,Elastane,"Shree Sanskruti Fashion, Shree Sanskruti Fashion, Ring Road, Surat, 395002",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,Solid,-,Microfiber,-,-,-,-,Flared,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_4.jpg,-,-,-,EU00978052
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Nude-Coloured Solid Saree Shapewear With Flared Hem,Nude,XL,1,Sugathari,1799,593,This item cannot be returned.,-,-,1,Units,Elastane,"Shree Sanskruti Fashion, Shree Sanskruti Fashion, Ring Road, Surat, 395002",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,Solid,-,Microfiber,-,-,-,-,Flared,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_4.jpg,-,-,-,EU00978053
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Nude-Coloured Solid Saree Shapewear With Flared Hem,Nude,XXL,1,Sugathari,1799,593,This item cannot be returned.,-,-,1,Units,Elastane,"Shree Sanskruti Fashion, Shree Sanskruti Fashion, Ring Road, Surat, 395002",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,Solid,-,Microfiber,-,-,-,-,Flared,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_Sugathari_17074020WomenNudeColouredSolidSareeShapewearWithFlaredHem_4.jpg,-,-,-,EU00978054
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Beige Tummy & Thigh Shapewear,Beige,S,1,Spiaty,379,303,This item cannot be returned.,-,-,1,Units,Cotton,"YAANAA, YAANAA, 2ND FLR, PLOT NO 164, SHOP NO 202, GELKRUPA SHOPPING, SWAMINARAYAN NAGAR SOCIETY, KATARGAM, SURAT-395004, GUJARAT.",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Cotton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Tummy and Thigh Shaper,-,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_3.jpg,-,-,-,-,EU00978055
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Beige Tummy & Thigh Shapewear,Beige,M,1,Spiaty,379,303,This item cannot be returned.,-,-,1,Units,Cotton,"YAANAA, YAANAA, 2ND FLR, PLOT NO 164, SHOP NO 202, GELKRUPA SHOPPING, SWAMINARAYAN NAGAR SOCIETY, KATARGAM, SURAT-395004, GUJARAT.",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Cotton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Tummy and Thigh Shaper,-,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_3.jpg,-,-,-,-,EU00978056
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Beige Tummy & Thigh Shapewear,Beige,L,1,Spiaty,379,303,This item cannot be returned.,-,-,1,Units,Cotton,"YAANAA, YAANAA, 2ND FLR, PLOT NO 164, SHOP NO 202, GELKRUPA SHOPPING, SWAMINARAYAN NAGAR SOCIETY, KATARGAM, SURAT-395004, GUJARAT.",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Cotton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Tummy and Thigh Shaper,-,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_3.jpg,-,-,-,-,EU00978057
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Beige Tummy & Thigh Shapewear,Beige,XL,1,Spiaty,379,303,This item cannot be returned.,-,-,1,Units,Cotton,"YAANAA, YAANAA, 2ND FLR, PLOT NO 164, SHOP NO 202, GELKRUPA SHOPPING, SWAMINARAYAN NAGAR SOCIETY, KATARGAM, SURAT-395004, GUJARAT.",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,-,-,Cotton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Tummy and Thigh Shaper,-,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_Spiaty_20929048WomenBeigeTummyThighShapewear_3.jpg,-,-,-,-,EU00978058
RET,RET-12-17-12,RET-12-17,RET-12,RET-12-17-12-12,Women Black Solid Mermaid Fit Saree Shapewear,Black,S,1,SECRETS BY ZEROKAATA,1995,658,This item cannot be returned.,-,-,1,Units,Elastane,"TAKE ME HOME E-SOLUTION PRIVATE LIMITED, Take Me Home Esolution Pvt Ltd, H-1/B, 3rd Floor, Kalkaji, New Delhi - 110019",India,-,-,-,-,-,-,-,-,-,-,[N],[N],[N],-,-,-,-,-,-,-,-,Solid,-,Polyester,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Women,Saree Shapewear,Elastane,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096824WomenBlackSolidMermaidFitSareeShapewear_1.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096824WomenBlackSolidMermaidFitSareeShapewear_2.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096824WomenBlackSolidMermaidFitSareeShapewear_3.jpg,https://datalabs.siva3.io/images/WomenShapewear_SECRETSBYZEROKAATA_20096824WomenBlackSolidMermaidFitSareeShapewear_4.jpg,-,-,-,EU00978059
