Sku Code,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product name,Product Quantity,UOM,MRP,Price,Short Product Description,Long Product Description,SKU Code,Manufacturer,Country Of Origin,Customer Care Contact,Time to Ship,Returnable (Y/N),Cancellable (Y/N),COD Available (Y/N),Image,Image.1,Image.2,Image.3,Image.4,Image.5,Image.6,Image.7,Image.8,Image.9,Net Quantity,Brand,Pack Quantity,Pack Size,UPC/EAN,FSSAI no,Preservatives,Preservatives (details),Flavours & Spices,Ready to cook,Ready to eat,Rice grain type,Recommended Age ,Baby Weight,Absorption Duration (in Hrs),Scented/ Flavour,Herbal/ Ayurvedic,Theme/ Occasion Type,Hair Type,Mineral Source,Caffeine Content,Capacity,Ingredients,Usage,Marketed By,Nutritional Facts
EU00000001,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"The Baker's Dozen Ragi Crackers,  100 g Pouch",100 g Pouch,grams,119,95.2,"Unique crunchy chips embodied with Ragi, we are loaded with garlic and are perfect with any dip that you may choose to have.", , ,"The Baker's Dozen, A Division of Mimansa Industries Pvt Ltd. 1st floor Indo time industries, Plot no. A-656, TTC Industrial Area,  MIDC Khairane,  Navi Mumbai-400710",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_30004789_4-the-bakers-dozen-ragi-crackers.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30004789-2_2-the-bakers-dozen-ragi-crackers.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30004789-3_2-the-bakers-dozen-ragi-crackers.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30004789-4_2-the-bakers-dozen-ragi-crackers.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30004789-5_2-the-bakers-dozen-ragi-crackers.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30004789-6_1-the-bakers-dozen-ragi-crackers.jpg,,,,,,The Baker's Dozen,1,1,'8906076130417,['10719012000010'], , , , , , , , , , , , , , , , ,"Wholewheat Flour (Atta), Ragi Flour (11%), Honey, Garlic, Sesame Seeds, Canola Oil, Sunfower Oil, Iodized Salt.",Ready to Eat,,
EU00000002,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"The Baker's Dozen Garlic Bread - 100% Wholewheat,  2X160 g Multipack",2 x 160 g Multipack,grams,198,198,"Garlic bread is the way it should be, made with 100% whole wheat (atta). Made without any added preservatives or chemicals, the whole wheat garlic bread is packed using a special German packaging technology (""fresh lock pack"") that retains its oven-baked freshness.", , ,"Mimansa Industries Private Limited,  Survey No. 1540,  Village-Radhu,  TA-Kheda,  Gujarat - 387560",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_1222164_1-the-bakers-dozen-garlic-bread-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222164-2_1-the-bakers-dozen-garlic-bread-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222164-3_1-the-bakers-dozen-garlic-bread-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222164-4_1-the-bakers-dozen-garlic-bread-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222164-5_1-the-bakers-dozen-garlic-bread-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222164-6_1-the-bakers-dozen-garlic-bread-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222164-7_1-the-bakers-dozen-garlic-bread-100-wholewheat.jpg,,,,,The Baker's Dozen,2,1,'1222164,['10719012000010'], , , , , , , , , , , , , , , , ,"Wholewheat Flour (Atta), Garlic (4%), Sugar, Iodized Salt, Sunflower Oil, Sourdough, Yeast, Gluten, Flour Treatment Agent (Amylases).","As our products are packed in a special airtight (fresh lock) pack and made without any preservatives, once opened, keep refrigerated and use within 3 days.Toast slightly before use to regain original texture","Mimansa Industries Private Limited, Survey No. 1540, Village-Radhu, TA-Kheda, Gujarat - 387560",
EU00000003,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"Wingreens Farms Baked Pita Bread Crisps - Chilli and Garlic, 100 g",100 g ,grams,150,127.5,"Wingreens Farms Baked Chili Garlic Pita Bread Crisps that is made with wheat flour, chilli flakes, garlic, and other spices. It is light, flavourful and makes a perfect snack. These crisps are baked and not fried which makes them low in carbs and fat. They are not only versatile but also healthier than other crisps. It has a great texture and flavour. It's a healthy alternative when you've got an intense junk food craving. It goes well along with hummus or some cheese. It does not contain any added flavour, colour or preservatives.", , ,"WINGREENS FARMS PVT LTD,  B-19 Info Technology Park,  Sector 34,  Gurugram,  Haryana 122001",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_30010746_4-wingreens-farms-baked-pita-bread-crisps-chilli-garlic.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30010746-2_2-wingreens-farms-baked-pita-bread-crisps-chilli-garlic.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30010746-3_2-wingreens-farms-baked-pita-bread-crisps-chilli-garlic.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30010746-4_2-wingreens-farms-baked-pita-bread-crisps-chilli-garlic.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30010746-5_1-wingreens-farms-baked-pita-bread-crisps-chilli-garlic.jpg,,,,,,,Wingreens Farms,1,1,'8906064654062,['10017064000998'], , , , , , , , , , , , , , , , ,"Wheat Flour (80%), Refined Oil, Salt, Garlic (1.2%), Chilli Flakes (0.34%), Mixed Spices.","1. Our yummy Baked Chilli Garlic Pita Bread Crisps taste great with all our dips.
2. Simply open a pack of your favourite Wingreens dip and dip away!","WINGREENS FARMS PVT LTD, B-19 Info Technology Park, Sector 34, Gurugram, Haryana 122001","Energy Value 285.61 kcal
Carbohydrates 44.5g
Sugar 1.435g
Proteins 6.05g
Fats 9.09g"
EU00000004,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"Wingreens Farms Baked Pita Bread Crisps - Chilli and Garlic, 2X100 gMultipack",2 x 100g Multipack,grams,300,255,"Wingreens Farms Baked Chili Garlic Pita Bread Crisps that is made with wheat flour, chilli flakes, garlic, and other spices. It is light, flavourful and makes a perfect snack. These crisps are baked and not fried which makes them low in carbs and fat. They are not only versatile but also healthier than other crisps. It has a great texture and flavour. It's a healthy alternative when you've got an intense junk food craving. It goes well along with hummus or some cheese. It does not contain any added flavour, colour or preservatives.", , ,"WINGREENS FARMS PVT LTD,  B-19 Info Technology Park,  Sector 34,  Gurugram,  Haryana 122001",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_30010746_4-wingreens-farms-baked-pita-bread-crisps-chilli-garlic.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30010746-2_2-wingreens-farms-baked-pita-bread-crisps-chilli-garlic.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30010746-3_2-wingreens-farms-baked-pita-bread-crisps-chilli-garlic.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30010746-4_2-wingreens-farms-baked-pita-bread-crisps-chilli-garlic.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_30010746-5_1-wingreens-farms-baked-pita-bread-crisps-chilli-garlic.jpg,,,,,,,Wingreens Farms,2,1,8.91E+12,['10017064000998'], , , , , , , , , , , , , , , , ,"Wheat Flour (80%), Refined Oil, Salt, Garlic (1.2%), Chilli Flakes (0.34%), Mixed Spices.","1. Our yummy Baked Chilli Garlic Pita Bread Crisps taste great with all our dips.
2. Simply open a pack of your favourite Wingreens dip and dip away!","WINGREENS FARMS PVT LTD, B-19 Info Technology Park, Sector 34, Gurugram, Haryana 122001","Energy Value 285.61 kcal
Carbohydrates 44.5g
Sugar 1.435g
Proteins 6.05g
Fats 9.09g"
EU00000005,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"The Baker's Dozen Lavash - 100% Wholewheat, 100 g",100 g ,grams,119,119,Crunchy 100% whole wheat flatbread with no maida which is a favourite with dips! Savour this yummy lavash and share it with your loved ones., , ,"Mimansa Industries Private Limited,  Survey No. 1540,  Village-Radhu,  TA-Kheda,  Gujarat - 387560",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40169958_3-the-bakers-dozen-lavash-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169958-2_3-the-bakers-dozen-lavash-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169958-3_3-the-bakers-dozen-lavash-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169958-4_2-the-bakers-dozen-lavash-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169958-5_2-the-bakers-dozen-lavash-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169958-6_1-the-bakers-dozen-lavash-100-wholewheat.jpg,,,,,,The Baker's Dozen,1,1,'40169958,['10719012000010'], , , , , , , , , , , , , , , , ,"Wholewheat Flour (Atta), Honey, Sesame Seeds, Iodized Salt, Yeast.","Once opened, store in an airtight container.","Mimansa Industries Private Limited, Survey No. 1540, Village-Radhu, TA-Kheda, Gujarat - 387560",
EU00000006,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"The Baker's Dozen Lavash - 100% Wholewheat, 2x100 gMultipack",2x100 g Multipack,grams,238,238,Crunchy 100% whole wheat flatbread with no maida which is a favourite with dips! Savour this yummy lavash and share it with your loved ones., , ,"Mimansa Industries Private Limited,  Survey No. 1540,  Village-Radhu,  TA-Kheda,  Gujarat - 387560",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40169958_3-the-bakers-dozen-lavash-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169958-2_3-the-bakers-dozen-lavash-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169958-3_3-the-bakers-dozen-lavash-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169958-4_2-the-bakers-dozen-lavash-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169958-5_2-the-bakers-dozen-lavash-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169958-6_1-the-bakers-dozen-lavash-100-wholewheat.jpg,,,,,,The Baker's Dozen,2,1,40169958,['10719012000010'], , , , , , , , , , , , , , , , ,"Wholewheat Flour (Atta), Honey, Sesame Seeds, Iodized Salt, Yeast.","Once opened, store in an airtight container.","Mimansa Industries Private Limited, Survey No. 1540, Village-Radhu, TA-Kheda, Gujarat - 387560",
EU00000007,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"The Baker's Dozen Pita Bread 100% Wholewheat 100 g + Lavash - 100% Wholewheat 100 g,  Combo 2 Items",Combo 2 Items,Units,204,204,"The Baker's Dozen Pita Bread 100% Wholewheat 100 gThe perfect base for the perfect falafel! 100% whole wheat, no added maida, no preservatives. This whole wheat pita bread is packed using a special German packaging technology (""fresh lock pack"") that retains its oven-baked freshness. It contains 4 pieces in this pack.The Baker's Dozen Lavash - 100% Wholewheat 100 gCrunchy 100% whole wheat flatbread with no maida which is a favourite with dips! Savour this yummy lavash and share it with your loved ones.", , ,"Mimansa Industries Private Limited,  Survey No. 1540,  Village-Radhu,  TA-Kheda,  Gujarat - 387560",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_1222211_1-the-bakers-dozen-pita-bread-100-wholewheat-100-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222211-2_1-the-bakers-dozen-pita-bread-100-wholewheat-100-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222211-3_1-the-bakers-dozen-pita-bread-100-wholewheat-100-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222211-4_1-the-bakers-dozen-pita-bread-100-wholewheat-100-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222211-5_1-the-bakers-dozen-pita-bread-100-wholewheat-100-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222211-6_1-the-bakers-dozen-pita-bread-100-wholewheat-100-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222211-7_1-the-bakers-dozen-pita-bread-100-wholewheat-100-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222211-8_1-the-bakers-dozen-pita-bread-100-wholewheat-100-g-lavash-100-wholewheat-100-g.jpg,,,,The Baker's Dozen,2,1,'1222211,['10719012000010'], , , , , , , , , , , , , , , , ,"The Baker's Dozen Pita Bread 100% Wholewheat 100 gWholewheat Flour (Atta), Sunflower Oil, Iodized Salt, Sourdough, Yeast, Sugar, Flour Treatment Agent (Amylases), Raising Agent (Baking Powder).The Baker's Dozen Lavash - 100% Wholewheat 100 gWholewheat Flour (Atta), Honey, Sesame Seeds, Iodized Salt, Yeast.","The Baker's Dozen Pita Bread 100% Wholewheat 100 gAs our products are packed in a special airtight (fresh lock) pack and made without any preservatives, once opened, keep refrigerated and use within 3 days.Toast slightly before use to regain original texture.The Baker's Dozen Lavash - 100% Wholewheat 100 gOnce opened, store in an airtight container.","Mimansa Industries Private Limited, Survey No. 1540, Village-Radhu, TA-Kheda, Gujarat - 387560",
EU00000008,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"The Baker's Dozen Chilli Garlic Grissini Breadsticks - 100% Wholewheat,  100 g",100 g ,grams,119,98.77,"These are 100% Wholewheat breadsticks with no maida and with an added dash of chilli and garlic, these are the perfect side for your soups, sauces or dips! No preservatives.", , ,"Mimansa Industries Private Limited,  Survey No. 1540,  Village-Radhu,  TA-Kheda,  Gujarat - 387611",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40169956_3-the-bakers-dozen-chilli-garlic-grissini-breadsticks-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169956-2_3-the-bakers-dozen-chilli-garlic-grissini-breadsticks-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169956-3_2-the-bakers-dozen-chilli-garlic-grissini-breadsticks-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169956-4_2-the-bakers-dozen-chilli-garlic-grissini-breadsticks-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169956-5_2-the-bakers-dozen-chilli-garlic-grissini-breadsticks-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169956-6_1-the-bakers-dozen-chilli-garlic-grissini-breadsticks-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40169956-7_1-the-bakers-dozen-chilli-garlic-grissini-breadsticks-100-wholewheat.jpg,,,,,The Baker's Dozen,1,1,'40169956,['10719012000010'], , , , , , , , , , , , , , , , ,"Wholewheat Flour (Atta), Butter, Garlic (6%), Iodized Salt, Yeast, Chilli Flakes, Sunflower Oil.",Enjoy with dips.,"Mimansa Industries Private Limited, Survey No. 1540, Village-Radhu, TA-Kheda, Gujarat - 387611",
EU00000009,RET,RET-10,RET-10-1C,RET-10-1C-10,RET-10-1C-10-11,"The Baker's Dozen Dark Chocolate Cookies 200 g + Lavash - 100% Wholewheat 100 g,  Combo 2 Items",Combo 2 Items,Units,308,251.3,"The Baker's Dozen Dark Chocolate Cookies 200 gCrunchy 100% butter cookies with loads of dark chocolate! No added preservatives. Packed using a special German packaging technology (""fresh lock pack"") that retains its oven baked freshness.The Baker's Dozen Lavash - 100% Wholewheat 100 gCrunchy 100% whole wheat flatbread with no maida which is a favourite with dips! Savour this yummy lavash and share it with your loved ones.", , ,"Mimansa Industries Private Limited,  Survey No. 1540,  Village-Radhu,  TA-Kheda,  Gujarat - 387611",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_1222208_1-the-bakers-dozen-dark-chocolate-cookies-200-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222208-2_1-the-bakers-dozen-dark-chocolate-cookies-200-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222208-3_1-the-bakers-dozen-dark-chocolate-cookies-200-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222208-4_1-the-bakers-dozen-dark-chocolate-cookies-200-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222208-5_1-the-bakers-dozen-dark-chocolate-cookies-200-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222208-6_1-the-bakers-dozen-dark-chocolate-cookies-200-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222208-7_1-the-bakers-dozen-dark-chocolate-cookies-200-g-lavash-100-wholewheat-100-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222208-8_1-the-bakers-dozen-dark-chocolate-cookies-200-g-lavash-100-wholewheat-100-g.jpg,,,,The Baker's Dozen,2,1,'1222208,['10719012000010'], , , , , , , , , , , , , , , , ,"The Baker's Dozen Dark Chocolate Cookies 200 gDark Chocolate (31%), Refined Wheat Flour (Maida), Sugar, Milk Solids (Butter), Apple Cider Vinegar, Raising Agent (Baking Soda), Vanilla Essence.The Baker's Dozen Lavash - 100% Wholewheat 100 gWholewheat Flour (Atta), Honey, Sesame Seeds, Iodized Salt, Yeast.","The Baker's Dozen Dark Chocolate Cookies 200 gOnce opened, store in an airtight container.The Baker's Dozen Lavash - 100% Wholewheat 100 gOnce opened, store in an airtight container.","Mimansa Industries Private Limited, Survey No. 1540, Village-Radhu, TA-Kheda, Gujarat - 387611",
EU00000010,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"The Baker's Dozen Pizza Base Sourdough 140g (Pack of 4) + Chilli Garlic Grissini Breadsticks 100g,  Combo 2 Items",Combo 2 Items,Units,208,187.77,"The Baker's Dozen Pizza Base - Sourdough 100% Wholewheat 140 g (Pack of 4)Our unique square-shaped pizza bases are the perfect wholewheat base for the perfect individual-portion pizzas with the added flavour of sourdough. 100% wholewheat and no preservatives.The Baker's Dozen Chilli Garlic Grissini Breadsticks - 100% Wholewheat 100 gThese are 100% Wholewheat breadsticks with no maida and with an added dash of chilli and garlic, these are the perfect side for your soups, sauces or dips! No preservatives.", , ,"Mimansa Industries Private Limited,  Survey No. 1540,  Village-Radhu,  TA-Kheda,  Gujarat - 387611",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_1222210_1-the-bakers-dozen-pizza-base-sourdough-140g-pack-of-4-chilli-garlic-grissini-breadsticks-100g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222210-2_1-the-bakers-dozen-pizza-base-sourdough-140g-pack-of-4-chilli-garlic-grissini-breadsticks-100g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222210-3_1-the-bakers-dozen-pizza-base-sourdough-140g-pack-of-4-chilli-garlic-grissini-breadsticks-100g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222210-4_1-the-bakers-dozen-pizza-base-sourdough-140g-pack-of-4-chilli-garlic-grissini-breadsticks-100g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222210-5_1-the-bakers-dozen-pizza-base-sourdough-140g-pack-of-4-chilli-garlic-grissini-breadsticks-100g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222210-6_1-the-bakers-dozen-pizza-base-sourdough-140g-pack-of-4-chilli-garlic-grissini-breadsticks-100g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222210-7_1-the-bakers-dozen-pizza-base-sourdough-140g-pack-of-4-chilli-garlic-grissini-breadsticks-100g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222210-8_1-the-bakers-dozen-pizza-base-sourdough-140g-pack-of-4-chilli-garlic-grissini-breadsticks-100g.jpg,,,,The Baker's Dozen,2,1,'122221,['10719012000010'], , , , , , , , , , , , , , , , ,"The Baker's Dozen Pizza Base - Sourdough 100% Wholewheat 140 g (Pack of 4)Whoelwheat Flour (Atta), Canola Oil, Sourdough, Yeast, Iodized Salt, Flour Treatment Agent (Amylases).The Baker's Dozen Chilli Garlic Grissini Breadsticks - 100% Wholewheat 100 gWholewheat Flour (Atta), Butter, Garlic (6%), Iodized Salt, Yeast, Chilli Flakes, Sunflower Oil.",The Baker's Dozen Pizza Base - Sourdough 100% Wholewheat 140 g (Pack of 4)It can be used as base for delicious pizzas.The Baker's Dozen Chilli Garlic Grissini Breadsticks - 100% Wholewheat 100 gEnjoy with dips.,"Mimansa Industries Private Limited, Survey No. 1540, Village-Radhu, TA-Kheda, Gujarat - 387611",
EU00000011,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"The Baker's Dozen Peanut Butter Cookies 150 g + Garlic Bread - 100% Wholewheat 160 g,  Combo 2 Items",Combo 2 Items,Units,288,231.3,"The Baker's Dozen Peanut Butter Cookies 150 gEnjoy the Baker's Dozen healthy Peanut Butter Cookies. These nutty, creamy, crunchy delight of cookies are made with the goodness of peanut butter, a delight for weight watchers and fitness lovers. Made with the love of chocolate this cookie is an instant hit with everyone. Made with 100% natural peanut butter and loaded with little chunks of curvature chocolate.The Baker's Dozen Garlic Bread - 100% Wholewheat 160 gGarlic bread is the way it should be, made with 100% whole wheat (atta). Made without any added preservatives or chemicals, the whole wheat garlic bread is packed using a special German packaging technology (""fresh lock pack"") that retains its oven-baked freshness.", , ,"Mimansa Industries Private Limited,  Survey No. 1540,  Village-Radhu,  TA-Kheda,  Gujarat - 387611",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_1222209_1-the-bakers-dozen-peanut-butter-cookies-150-g-garlic-bread-100-wholewheat-160-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222209-2_1-the-bakers-dozen-peanut-butter-cookies-150-g-garlic-bread-100-wholewheat-160-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222209-3_1-the-bakers-dozen-peanut-butter-cookies-150-g-garlic-bread-100-wholewheat-160-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222209-4_1-the-bakers-dozen-peanut-butter-cookies-150-g-garlic-bread-100-wholewheat-160-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222209-5_1-the-bakers-dozen-peanut-butter-cookies-150-g-garlic-bread-100-wholewheat-160-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222209-6_1-the-bakers-dozen-peanut-butter-cookies-150-g-garlic-bread-100-wholewheat-160-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222209-7_1-the-bakers-dozen-peanut-butter-cookies-150-g-garlic-bread-100-wholewheat-160-g.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_1222209-8_1-the-bakers-dozen-peanut-butter-cookies-150-g-garlic-bread-100-wholewheat-160-g.jpg,,,,The Baker's Dozen,2,1,'1222209,['10719012000010'], , , , , , , , , , , , , , , , ,"The Baker's Dozen Peanut Butter Cookies 150 gPeanut Butter (28%), Refined Wheat Flour (Maida), Sugar, Butter, Dark Chocolate (14%), Apple Cider Vinegar, Raising Agent (Baking Soda).The Baker's Dozen Garlic Bread - 100% Wholewheat 160 gWholewheat Flour (Atta), Garlic (4%), Sugar, Iodized Salt, Sunflower Oil, Sourdough, Yeast, Gluten, Flour Treatment Agent (Amylases).","The Baker's Dozen Peanut Butter Cookies 150 gReady to EatThe Baker's Dozen Garlic Bread - 100% Wholewheat 160 gAs our products are packed in a special airtight (fresh lock) pack and made without any preservatives, once opened, keep refrigerated and use within 3 days.Toast slightly before use to regain original texture","Mimansa Industries Private Limited, Survey No. 1540, Village-Radhu, TA-Kheda, Gujarat - 387611",
EU00000012,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"The Baker's Dozen Peri Peri Crackers - 100% Wholewheat,  100 g",100 g ,grams,119,119,"These crackers are baked, not fried! They are unique crunchy chips made with 100% wholewheat, enhanced with Peri-Peri to add that extra tinge. They are perfect with any dip that you may choose to have. No added maida and no preservatives.", , ,"Mimansa Industries Private Limited,  Survey No. 1540,  Village-Radhu,  TA-Kheda,  Gujarat - 387611",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40192817_3-the-bakers-dozen-peri-peri-crackers-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40192817-2_3-the-bakers-dozen-peri-peri-crackers-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40192817-3_3-the-bakers-dozen-peri-peri-crackers-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40192817-4_3-the-bakers-dozen-peri-peri-crackers-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40192817-5_3-the-bakers-dozen-peri-peri-crackers-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40192817-6_1-the-bakers-dozen-peri-peri-crackers-100-wholewheat.jpg,,,,,,The Baker's Dozen,1,1,'40192817,['10719012000010'], , , , , , , , , , , , , , , , ,"Wholewheat Flour (Atta), Peri Peri Powder (5%), Honey, Iodized Salt, Yeast.",Enjoy with dips.,"Mimansa Industries Private Limited, Survey No. 1540, Village-Radhu, TA-Kheda, Gujarat - 387611",
EU00000013,RET,RET-10,RET-10-11,RET-10-11-10,RET-10-11-10-10,"The Baker's Dozen Beetroot Crackers - 100% Wholewheat,  100 g",100 g ,grams,119,119,"These crackers are baked, not fried! They are uniquely healthy, crunchy chips made with 100% wholewheat and freshly ground beetroot. One can munch it alone, or with any dip that you may choose to have. No added maida and no preservatives.", , ,"Mimansa Industries Private Limited,  Survey No. 1540,  Village-Radhu,  TA-Kheda,  Gujarat - 387611",India,-,-,-,-,-,https://datalabs.siva3.io/images/Eunimart_groceries_40192819_3-the-bakers-dozen-beetroot-crackers-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40192819-2_3-the-bakers-dozen-beetroot-crackers-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40192819-3_3-the-bakers-dozen-beetroot-crackers-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40192819-4_3-the-bakers-dozen-beetroot-crackers-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40192819-5_3-the-bakers-dozen-beetroot-crackers-100-wholewheat.jpg,https://datalabs.siva3.io/images/Eunimart_groceries_40192819-6_1-the-bakers-dozen-beetroot-crackers-100-wholewheat.jpg,,,,,,The Baker's Dozen,1,1,'40192819,['10719012000010'], , , , , , , , , , , , , , , , ,"Wholewheat Flour (Atta), Beetroot Powder (6%), Honey, Iodized Salt, Yeast.",Enjoy with dips.,"Mimansa Industries Private Limited, Survey No. 1540, Village-Radhu, TA-Kheda, Gujarat - 387611",
