Eunimart Ref ID,L0 Domain,L1 Sub-Domain,L2 Category,L3 Sub-Category,L4 Product Enum-Code,Product Name,Colour,Size,Qty,Brand Name,MRP,Selling Price,Short Product Description,Long Description,SKU Code,Pack Qty,Pack Qty Unit of Measurement,Material / Content,Manufacturer Name & Address,Country of Origin,Customer Care Contact,Care Instructions,Time to ship,Cancellable (Y/N),Returnable (Y/N),Replaceable (Y/N),COD Available,Image,Image.1,Image.2,Image.3,Gross Weight,Gross Weight Unit of Measurement,Length x Breadth x Height (Cubic Cm.),Fragile (Y/N),Liquid (Y/N),Hazardous (Y/N),GTIN,HSN,EAN,Gender,Concern,Ingredient,Conscious,Pack Size,Preference,Formulation,Skin Type,Age Group,Occasion,Fragrance Family,Hair Type,Top Note,Middle Note,Product Code,Product Link,Strength,Sustainable,Type,Benefit,Warranty,Jewellery Type,Pattern,Extension Type,Extension Colour,Finish,Coverage,Skin Tone,SPF,Bristle Type,Brush Type,Flavour
EU00003203,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,#Tank Plate Women Eau de Toilette 100ml,"Peach,Lavender,Red",75-100 ML,1,Replay,3200,1600,"What It Is: Replay #Tank Plate Women Eau de Toilette 100ml

What It Does:

This inebriating fragrance unites female seduction and colorful happiness. Sweet red fruits play with fresh freesia and soft almond in the top. The seduction continues in the Heart notes with narcotic jasmine, juicy peach, and powdery orris. The irresistible base of creamy vanilla, powdery tonka bean, diffusive amber, and luxurious sandalwood harmonizes this tempting fragrance.some top note citrus scents smell stronger immediately upon application, while a lavender middle note may be sensed after some time from application as the top note evaporates.",,,1,Units,,"BEAUTY IMPEX PRIVATE LIMITED, Mavive S.p.a. Via Altinia 298/B - 30173 Dese (Venezia) - ITALY041 5417771",Italy,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15ReplayTankPlateWomenEaudeToilette100ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15ReplayTankPlateWomenEaudeToilette100ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15ReplayTankPlateWomenEaudeToilette100ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15ReplayTankPlateWomenEaudeToilette100ml_4.jpg,,,,(Y),(Y),(N),,,,Female,,"Peach,Lavender,Jasmine,Almond,Sandalwood",,,,,,,,Fruity,,,,10922988,https://www.myntra.com/perfume-and-body-mist/replay/replay-tank-plate-women-eau-de-toilette-100ml/10922988/buy,Mild,,Perfume,,,,,,,,,,,,,
EU00003204,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,007 for Women I Eau de Parfum 50ml,"White,Black",50ml,1,James Bond,2900,1740,"What Is It:
The 007 perfume for women embodies the mysterious allure of the enigmatic Bond Woman, the scent for women is a modern interpretation of the mysterious oriental fragrances worn by women throughout the last century.

Notes:
Top: Bergamot, Black Pepper, Rose Milk
Heart: Blackberry, Gardenia, Jasmine
Base: Black Vanilla, Cedarwood, White Musk",,,1,Units,,"BEAUTY IMPEX PRIVATE LIMITED, Coty, 14, Rue Du 4 Septembre, 75002, Paris, France",France,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007forWomenIEaudeParfum50ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007forWomenIEaudeParfum50ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007forWomenIEaudeParfum50ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007forWomenIEaudeParfum50ml_4.jpg,,,,(Y),(Y),(N),,,,Female,,"Rose,Jasmine,Milk",,,,,,,,Fresh,,,,10922984,https://www.myntra.com/perfume-and-body-mist/james-bond/james-bond-007-women-eau-de-parfum-75-ml/10923026/buy,Mild,,Perfume,,,,,,,,,,,,,
EU00003205,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,007 For Women II Eau de Parfum Vaporisateur 75ml,"Pink,Black",75ml,1,James Bond,3200,1920,"What It Is: Women II Eau de Parfum Vaporisateur 75ml

What It Does:

The new oriental - floral composition is lighter in relation to the original. It opens with a combination of pink pepper, pink freesia, raspberry and pink champagne. The fruity character of blackberry is mixed with a floral bouquet of gardenia, pink oleander and black baccarat rose. The oriental and silky base consists of musk, vanilla, cedar, sandalwood and leather. The face of the perfume is the Italian actress Caterina Murino, who played Solange Dimitrios in the 2006 James Bond movie ""Casino Royale"".The luxuriously carved, diamond- cut glass bottle is now colored in soft pink.

About The Brand:
James Bond 007 for Women II comes out in the spring of 2016, a year after the first feminine fragrance from the James Bond line, James Bond 007 for Women. The first edition supposedly embodies a mysterious Bond lady and her charm, wit and sense of adventure. James Bond 007 for Women II continues the same story line, offering a charming daily variation in response to the evening debut.",,,1,Units,,"BEAUTY IMPEX PRIVATE LIMITED, Coty, 14, Rue Du 4 Septembre, 75002, Paris, France",France,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007ForWomenIIEaudeParfumVaporisateur75ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007ForWomenIIEaudeParfumVaporisateur75ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007ForWomenIIEaudeParfumVaporisateur75ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007ForWomenIIEaudeParfumVaporisateur75ml_4.jpg,,,,(Y),(Y),(N),,,,Female,,"Rose,Sandalwood",,,,,Combination,,"Evening,Daily",Floral,,,,10922986,https://www.myntra.com/perfume-and-body-mist/james-bond/james-bond-007-women-ii-eau-de-parfum-50-ml/10923000/buy,Mild,,Perfume,,,,"Floral,Brand",,,,,,,,,
EU00003206,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,007 for Women III Eau de Parfum 50ml,Purple,25-50 ML,1,James Bond,2900,1740,"What is It:
007 for Women III Eau de Parfum is the jewel of the 007 for Women line up. Powerful and designed with lasting ingredients, 007 for Women III perfectly completes the 007 Collection for Women. The dark purple flacon of 007 perfume for Women III, showcases the diamond-cut pattern that creates a kaleidoscopic effect, sparkling as it reflects the light. The outer packaging features a deep shade of purple and is emblazoned with the iconic 007 gun logo.

Notes:
The scent opens with gently spiced and sparkling fruit notes of Papaya and Pineapple. At the heart, radiant and all-encompassing floral notes flourish with a combination of Ylang Ylang, Frangipani ScentTrek and Solar Floral Accord.",,,1,Units,,"BEAUTY IMPEX PRIVATE LIMITED, Coty, 14, Rue Du 4 Septembre, 75002, Paris, France",France,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007forWomenIIIEaudeParfum50ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007forWomenIIIEaudeParfum50ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007forWomenIIIEaudeParfum50ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007forWomenIIIEaudeParfum50ml_4.jpg,,,,(Y),(Y),(N),,,,Female,,Papaya,,,Daytime Fragrance,Spray,Combination,,,Fruity,,Fresh,Fresh,10922966,https://www.myntra.com/perfume-and-body-mist/james-bond/james-bond-007-for-women-iii-eau-de-parfum-50ml/10922966/buy,Mild,Regular,Perfume,,,,Floral,,,Radiant,Radiant,,,,,
EU00003207,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,007 Women Eau de Parfum 75ml,"White,Black",75ml,1,James Bond,3200,1920,"What it is:
Capture the essence of the Bond Woman and make it your own, with 007 for Women. All her seductive femininity, her dangerous glamour and captivating charm come together in this signature scent, a Modern Oriental Eau de Parfum suffused with mystery.

What it does:
The 007 perfume for women embodies the mysterious allure of the enigmatic Bond Woman, the scent for women is a modern interpretation of the mysterious oriental fragrances worn by women throughout the last century.

Fragrance Notes:
Top: Bergamot, Black Pepper, Rose Milk
Heart: Blackberry, Gardenia, Jasmine
Base: Black Vanilla, Cedarwood, White Musk
An initial burst of provocative Black Pepper infused in Rose Milk ignites an intriguing duality of danger and sensuality. Alongside, an attractive fruity chord of Blackberry wrapped in floral White Jasmine dries down to a rich, sensuous finish, led by Black Vanilla, tantalizing White Musk, an a hint of elegant Cedarwood.",,,1,Units,,"BEAUTY IMPEX PRIVATE LIMITED, Coty, 14, Rue Du 4 Septembre, 75002, Paris, France",France,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007WomenEaudeParfum75ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007WomenEaudeParfum75ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007WomenEaudeParfum75ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007WomenEaudeParfum75ml_4.jpg,,,,(Y),(Y),(N),,,,Female,,"Rose,Jasmine,Milk",,,,,,,,Fruity,,,,10923026,https://www.myntra.com/perfume-and-body-mist/james-bond/james-bond-007-women-eau-de-parfum-75-ml/10923026/buy,Mild,,Perfume,,,,Floral,,,,,,,,,
EU00003208,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,007 Women II Eau de Parfum 50 ml,"Pink,Black",25-50 ML,1,James Bond,2900,1740,"What it is:
007 for Women II opens with a burst of spicy Pink Pepper, balanced by velvety facets of Pink Freesia and sparkling Royal Raspberry

Features:
Notes reminiscent of luxurious Pink Champagne convey the captivatingly beautiful yet powerful spirit of the Bond Woman
At the heart of this Eau de Parfum, fruity Blackberry combines with a floral bouquet of Solar Gardenia and Pink Oleander, enveloped by precious Black Baccara Rose
The rich, oriental dry down is driven by Vanilla and silky Musk notes, underscored by elegant touches of Cedarwood and Leather",,,1,Units,,"BEAUTY IMPEX PRIVATE LIMITED, Coty, 14, Rue Du 4 Septembre, 75002, Paris, France",France,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007WomenIIEaudeParfum50ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007WomenIIEaudeParfum50ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007WomenIIEaudeParfum50ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JamesBond007WomenIIEaudeParfum50ml_4.jpg,,,,(Y),(Y),(N),,,,Female,,Rose,,,,,,,,Oriental,Dry,,,10923000,https://www.myntra.com/perfume-and-body-mist/james-bond/james-bond-007-women-ii-eau-de-parfum-50-ml/10923000/buy,Mild,,Perfume,,,,Floral,,,,,,,,,
EU00003209,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,1001 Nights Concentrated Perfume - 30ml,,25-50 ML,1,Ajmal,5000,5000,1001 Nights Concentrated Perfume,,,1,Units,,"AJMAL & SONS, Ajmal & Sons, Plot No. R-335, T.T.C. Industrial area, MIDC Rabale, Navi Mumbai, Dist - Thane - 400701, Maharashtra, India.",United Arab Emirates,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Ajmal1001NightsConcentratedPerfume-30ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Ajmal1001NightsConcentratedPerfume-30ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Ajmal1001NightsConcentratedPerfume-30ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Ajmal1001NightsConcentratedPerfume-30ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Daytime Fragrance,Liquid,,,,Oriental,,Fruity,Woody,18645080,https://www.myntra.com/perfume-and-body-mist/ajmal/ajmal-1001-nights-concentrated-perfume---30ml/18645080/buy,Strong,Regular,,,,,,,,,,,,,,
EU00003210,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,1981 Los Angeles Men Eau de Toilette 100ml,"Red,Black",75-100 ML,1,GUESS,4400,2640,"Introducing 1981 Los Angeles for Men, a scent that perfectly captures California vibes, a modern fragrance that opens with refreshing Bergamot and black pepper, the heart reveals geranium and red ginger. Textured and earthy sandalwood,vetiver and amber round out the base.",,,1,Units,,"BEAUTY IMPEX PRIVATE LIMITED, BEAUTY IMPEX PRIVATE LIMITED-104,Coty 100, Rue Martre, 92110 Clichy, France",France,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15GUESS1981LosAngelesMenEaudeToilette100ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15GUESS1981LosAngelesMenEaudeToilette100ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15GUESS1981LosAngelesMenEaudeToilette100ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15GUESS1981LosAngelesMenEaudeToilette100ml_4.jpg,,,,(Y),(Y),(N),,,,Male,,"Vetiver,Ginger,Sandalwood,Geranium",,,Night Time Fragrance,Spray,,,,Oriental,,Oriental,Oriental,13738988,https://www.myntra.com/perfume-and-body-mist/guess/guess-1981-los-angeles-men-eau-de-toilette-100ml/13738988/buy,Medium,Regular,,,,,Textured,,,,,,,,,
EU00003211,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,1981 Los Angeles Women Eau de Toilette 100ml,Orange,75-100 ML,1,GUESS,4400,2640,"Introducing 1981 Los Angeles for Women, a modern, sexy fragrance that opens with delicate mandarin and pear, the heart reveals jasmine petals and sweet orange flower. Textured and earthy cedarwood,vanilla and musk round out the base.",,,1,Units,,"BEAUTY IMPEX PRIVATE LIMITED, BEAUTY IMPEX PRIVATE LIMITED-104,Coty 100, Rue Martre, 92110 Clichy, France",France,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15GUESS1981LosAngelesWomenEaudeToilette100ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15GUESS1981LosAngelesWomenEaudeToilette100ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15GUESS1981LosAngelesWomenEaudeToilette100ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15GUESS1981LosAngelesWomenEaudeToilette100ml_4.jpg,,,,(Y),(Y),(N),,,,Female,,"Orange Flower,Orange,Jasmine",,,Daytime Fragrance,Spray,,,,Fruity,,Fruity,Fruity,13738994,https://www.myntra.com/perfume-and-body-mist/guess/guess-1981-los-angeles-women-eau-de-toilette-100ml/13738994/buy,Medium,Regular,,,,,Textured,,,,,,,,,
EU00003212,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,212 Heroes Eau De Toilette 50ml,,50ml,1,Carolina Herrera,4750,4750,"Feel forever young with 212 Heroes, a fresh new masculine scent that celebrates youth, freedom and authenticity with a revolutionary vegan formula, a striking skateboard-shaped flaconthe ultimate symbol of rebellious youth and an inspiring cast of ambassadors that is every bit as eclectic as the avant-garde ingredients inside. A tribute to carefree heroes who live life to the fullest, 212 Heroes is proof that nothing is more heroic than being authentic.",,,1,Units,,"Supercom Net, BACCAROSE PERFUMES AND BEAUTY PRODUCTS PRIVATE LIMITED, 66, Maker Chambers VI, Nariman Point, Mumbai 400021",Spain,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15CarolinaHerrera212HeroesEauDeToilette50ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15CarolinaHerrera212HeroesEauDeToilette50ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15CarolinaHerrera212HeroesEauDeToilette50ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15CarolinaHerrera212HeroesEauDeToilette50ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Daytime Fragrance,Spray,Vegan,,,Fruity,,Fresh,Fresh,13926300,https://www.myntra.com/perfume-and-body-mist/carolina-herrera/carolina-herrera-212-heroes-eau-de-toilette-90ml/13926302/buy,Medium,Regular,,,,,,,,,,,,,,
EU00003213,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,212 Heroes Eau De Toilette 90ml,,90ml,1,Carolina Herrera,7600,7600,"Feel forever young with 212 Heroes, a fresh new masculine scent that celebrates youth, freedom and authenticity with a revolutionary vegan formula, a striking skateboard-shaped flaconthe ultimate symbol of rebellious youth and an inspiring cast of ambassadors that is every bit as eclectic as the avant-garde ingredients inside. A tribute to carefree heroes who live life to the fullest, 212 Heroes is proof that nothing is more heroic than being authentic.",,,1,Units,,"Supercom Net, BACCAROSE PERFUMES AND BEAUTY PRODUCTS PRIVATE LIMITED, 66, Maker Chambers VI, Nariman Point, Mumbai 400021",Spain,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15CarolinaHerrera212HeroesEauDeToilette90ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15CarolinaHerrera212HeroesEauDeToilette90ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15CarolinaHerrera212HeroesEauDeToilette90ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15CarolinaHerrera212HeroesEauDeToilette90ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Daytime Fragrance,Spray,Vegan,,,Fruity,,Fresh,Fresh,13926302,https://www.myntra.com/perfume-and-body-mist/carolina-herrera/carolina-herrera-212-heroes-eau-de-toilette-90ml/13926302/buy,Medium,Regular,,,,,,,,,,,,,,
EU00003214,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,24 Carat White Gold Eau De Parfum Natural Spray - 100 ml,"Gold,White",100-120 ML,1,Lattafa,2000,2000,24 Carat White Gold Eau De Parfum Natural Spray,,,1,Units,,"UVP CARE, Lattafa Perfumes Ind. LLC., United Arab Emirates",United Arab Emirates,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Lattafa24CaratWhiteGoldEauDeParfumNaturalSpray-100ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Lattafa24CaratWhiteGoldEauDeParfumNaturalSpray-100ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Lattafa24CaratWhiteGoldEauDeParfumNaturalSpray-100ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Lattafa24CaratWhiteGoldEauDeParfumNaturalSpray-100ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Natural,Spray,Natural,,,Warm and Spicy,,Fruity,Warm and Spicy,19362888,https://www.myntra.com/perfume-and-body-mist/lattafa/lattafa-24-carat-white-gold-eau-de-parfum-natural-spray---100-ml/19362888/buy,Strong,Regular,Eau de Parfum,,,,,,,Natural,Natural,,,,,
EU00003215,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,525 Secret Collection Eau De Perfume - 60ml,,50-75 ML,1,JOHN PHILLIPS,1000,499,525 Secret Collection Eau De Perfume,,,1,Units,,"PIONEER HERBALS, Pioneer Herbals, Sr.No 175/2-B, NEAR WELLKNOWN TEXTILE Athiawad, Dabhel, Daman 396215 (U.T) INDIA",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JOHNPHILLIPS525SecretCollectionEauDePerfume-60ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JOHNPHILLIPS525SecretCollectionEauDePerfume-60ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JOHNPHILLIPS525SecretCollectionEauDePerfume-60ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15JOHNPHILLIPS525SecretCollectionEauDePerfume-60ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Daytime Fragrance,Spray,,,,Fresh,,Fresh,Floral,18702786,https://www.myntra.com/perfume-and-body-mist/john-phillips/john-phillips-525-secret-collection-eau-de-perfume---60ml/18702786/buy,Strong,Regular,Eau de Parfum,,,,,,,,,,,,,
EU00003216,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,919 Paris Blue Eau De Parfum - 50ml,Blue,25-50 ML,1,Sweetheart,450,349,919 Paris Blue Eau De Parfum,,,1,Units,,"Glide Route Ventures LLP, JBJ Perfumes Pvt. Ltd, 52, Sai Road, Baddi-173205 (H.P) India.",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Sweetheart919ParisBlueEauDeParfum-50ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Sweetheart919ParisBlueEauDeParfum-50ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Sweetheart919ParisBlueEauDeParfum-50ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Sweetheart919ParisBlueEauDeParfum-50ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Cruelty-Free,Spray,,,,Fresh,,Fresh,Floral,16601684,https://www.myntra.com/perfume-and-body-mist/sweetheart/sweetheart-919-paris-blue-eau-de-parfum---50ml/16601684/buy,Medium,Regular,,,,,,,,,,,,,,
EU00003217,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,999 Nights Attar 6ml,,0-25 ML,1,SIBTAIN,799,799,999 Nights Attar 6ml.,,,1,Units,,"RAZA ENTERPRISES, 186,Ram Gali Number2,Raja Park,",India,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15SIBTAIN999NightsAttar6ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15SIBTAIN999NightsAttar6ml_2.jpg,,,,,,(Y),(Y),(N),,,,,,,,,Night Time Fragrance,Liquid,,,,Fresh,,Woody,Woody,20220330,https://www.myntra.com/perfume-and-body-mist/sibtain/sibtain--999-nights-attar-6ml/20220330/buy,Mild,Regular,,,,,,,,,,,,,,
EU00003218,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,A Thousand Wishes Fine Fragrance Mist - 236 ml,,200-300 ML,1,Bath & Body Works,1799,1799,A Thousand Wishes Fine Fragrance Mist,,,1,Units,,"Supercom Net, M/s beautyAvenues, LLC, 7 Limited Parkway, Reynoldsburg, Ohio 43068, United States of America",United States of America,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Bath&BodyWorksAThousandWishesFineFragranceMist-236ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15Bath&BodyWorksAThousandWishesFineFragranceMist-236ml_2.jpg,,,,,,(Y),(Y),(N),,,,,,,,,Dermatologically Tested,Spray,,,,Floral,Fine,Floral,Floral,20384266,https://www.myntra.com/perfume-and-body-mist/bath--body-works/bath--body-works-a-thousand-wishes-fine-fragrance-mist---236-ml/20384266/buy,Medium,Regular,,,,,,,,,,,,,,
EU00003219,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,Absolu Prefume Body Spray 250 ml,,200-300 ML,1,aco PERFUMES,499,499,Absolu Prefume Body Spray 250 ml,,,1,Units,,"A A ATTARWALA & COMPANY PRIVATE LIMITED, AA ATTARWALA PVT LTD,82/84 GR FLOOR CLARE HOUSE CLARE ROAD NAGPADA,400008",United Arab Emirates,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESAbsoluPrefumeBodySpray250ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESAbsoluPrefumeBodySpray250ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESAbsoluPrefumeBodySpray250ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-15acoPERFUMESAbsoluPrefumeBodySpray250ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Cruelty-Free,Spray,,,,Fresh,,Woody,Woody,20781600,https://www.myntra.com/perfume-and-body-mist/aco-perfumes/aco-perfumes-absolu-prefume-body-spray-250-ml/20781600/buy,Mild,Regular,,,,,,,,,,,,,,
EU00003220,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,ACQUA COLONIA Lime & Nutmeg Eau de Cologne - 170ml,,170ml,1,4711,4500,2925,ACQUA COLONIA Lime & Nutmeg Eau de Cologne,,,1,Units,,"Truecom Retail, MURER & WIRTZ GmbH & Co. KG, Zweifaller Str. 120, 52224 Stolberg, Germany",Germany,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-154711ACQUACOLONIALime&NutmegEaudeCologne-170ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-154711ACQUACOLONIALime&NutmegEaudeCologne-170ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-154711ACQUACOLONIALime&NutmegEaudeCologne-170ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-154711ACQUACOLONIALime&NutmegEaudeCologne-170ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Daytime Fragrance,Liquid,,,,Warm and Spicy,,Fruity,Warm and Spicy,16951484,https://www.myntra.com/perfume-and-body-mist/4711/4711-acqua-colonia-lime--nutmeg-eau-de-cologne---50-ml/16951496/buy,Mild,Regular,,,,,,,,,,,,,,
EU00003221,RET,RET-13,RET-13-12,RET-13-12-11,RET-13-12-11-15,ACQUA COLONIA Lime & Nutmeg Eau de Cologne - 50 ml,,25-50 ML,1,4711,2100,1365,ACQUA COLONIA Lime & Nutmeg Eau de Cologne,,,1,Units,,"Truecom Retail, MURER & WIRTZ GmbH & Co. KG, Zweifaller Str. 120, 52224 Stolberg, Germany",Germany,,,,,(N),(N),,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-154711ACQUACOLONIALime&NutmegEaudeCologne-50ml_1.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-154711ACQUACOLONIALime&NutmegEaudeCologne-50ml_2.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-154711ACQUACOLONIALime&NutmegEaudeCologne-50ml_3.jpg,https://datalabs.siva3.io/images/BodySprays&MistsRET-13-12-11-154711ACQUACOLONIALime&NutmegEaudeCologne-50ml_4.jpg,,,,(Y),(Y),(N),,,,,,,,,Daytime Fragrance,Liquid,,,,Warm and Spicy,,Fruity,Warm and Spicy,16951496,https://www.myntra.com/perfume-and-body-mist/4711/4711-acqua-colonia-lime--nutmeg-eau-de-cologne---50-ml/16951496/buy,Mild,Regular,,,,,,,,,,,,,,
